,dhlabid,urn,lenker,title,authors,oaiid,city,year,publisher,langs,subjects,ddc,genres,literaryform,kristin,sesamid,isbn10,timestamp,doctype,ocr_creator,ocr_timestamp
78,100289681,URN:NBN:no-nb_digibok_2016041448047,https://www.nb.no/items/URN:NBN:no-nb_digibok_2016041448047,Eventyret om fanden i nøtten,"Asbjørnsen , Peter Christen / Moe , Jørgen / Midelfart , Alice",,Oslo,1945.0,Damm,nob,,,,Skjønn,Skjønn,,,,,,
59,100213176,URN:NBN:no-nb_digibok_2014071508018,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014071508018,Farlig spill : en guttefortelling,"Ask , Espen / Brandvold , Åshild",,Oslo,1945.0,Ekko,nob,,,,Skjønn,Skjønn,,,,,,
117,100309755,URN:NBN:no-nb_digibok_2016090948102,https://www.nb.no/items/URN:NBN:no-nb_digibok_2016090948102,Finnmarks-Ravna,"Ott , Estrid / Treider , Esther Normann . / Gjerding , Gerhard",,Oslo,1945.0,Gyldendal,nob / dan,,,fiction,Skjønnlitteratur,,,,,,,
17,100226008,URN:NBN:no-nb_digibok_2014091708167,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014091708167,Flagg over Vangen : forteljing om Vangsgutane,"Halse , Leif / Nilssen , Jens R.",,Oslo,1945.0,Fonna,nno,,,,Skjønn,Skjønn,,,,,,
24,100572774,URN:NBN:no-nb_digibok_2007011200043,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007011200043,Fra 9. april til 7. juni : episoder og oplevelser fra krigen i Norge,"Gotaas , Birger",,,1945.0,Dybwad,nob,Historie - Norge / Andre verdenskrig / Felttoget 1940 / Okkupasjon / Invasjon / geografi/historie / annen / verdenskrig / norge / historie / verdskrigen / 1939-1945,948.1053,,Fag,Fag,,,,,,
85,100323133,URN:NBN:no-nb_digibok_2017012748140,https://www.nb.no/items/URN:NBN:no-nb_digibok_2017012748140,Full fart forover,"Bauer , Lill Herlofson",,Oslo,1945.0,Aschehoug,nob,,,,Skjønn,Skjønn,,,,,,
122,100594408,URN:NBN:no-nb_digibok_2021082648051,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021082648051,"Gi deg, Nils Petter : blad av en ung manns dagbok","Togeby , Sigurd / Hauge , Eivind / Wangensten-Berge , Lars",,Oslo,1945.0,Damm,nob / dan,,,,Skjønn,Skjønn,,,,,,
137,100208504,URN:NBN:no-nb_digibok_2014060308002,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014060308002,Greta greier alt!,"Adams-Klingberg , Sigrid / Solaas , Hjørdis",,Oslo,1945.0,Nasjonalforlaget,nob / swe,,,,Skjønn,Skjønn,,,,,,
48,100158112,URN:NBN:no-nb_digibok_2013071208151,https://www.nb.no/items/URN:NBN:no-nb_digibok_2013071208151,Gustav og Eli,"Spetland , Guttorm / Gjerding , Gerhard",,Oslo,1945.0,Tanum,nob,,,,Skjønn,Skjønn,,,,,,
93,100428647,URN:NBN:no-nb_digibok_2020102007838,https://www.nb.no/items/URN:NBN:no-nb_digibok_2020102007838,Annikken Prestgaren,"Zwilgmeyer , Dikken / Grøgaard , Joachim",,Oslo,1945.0,Aschehoug,nob,,,fiction,Skjønnlitteratur,,,,,,,
106,100595734,URN:NBN:no-nb_digibok_2021082548547,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021082548547,Arvegull : fortelling,"Hansen , Johan / Hernæs , Ellen",,[S.l,1945.0,s.n.],nob,,,,Skjønn,Skjønn,,,,,,
16,100218360,URN:NBN:no-nb_digibok_2014080508124,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014080508124,Arven,"Strompdal , Ivar / Nilssen , Jens R.",,Oslo,1945.0,Norsk Barneblads forlag,nno,,,fiction,Skjønnlitteratur,,,,,,,
77,100274647,URN:NBN:no-nb_digibok_2016010408131,https://www.nb.no/items/URN:NBN:no-nb_digibok_2016010408131,Avisgutten : som ble verdens største oppfinner,"Amundsen , Sverre S.",,Oslo,1945.0,Aschehoug,nob,Biografier,,,Fag,Fag,,,,,,
42,100109490,URN:NBN:no-nb_digibok_2012091708019,https://www.nb.no/items/URN:NBN:no-nb_digibok_2012091708019,Bare gjør det! : ungpikeroman,"Solaas , Hjørdis",,Oslo,1945.0,Nasjonalforl.,nob,,,,Skjønn,Skjønn,,,,,,
29,100507424,URN:NBN:no-nb_digibok_2007012201007,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007012201007,Rolf i Tibet,"Næss , Erling",,,1945.0,Halvorsen,nob,,,,Skjønn,Skjønn,,,,,,
45,100144190,URN:NBN:no-nb_digibok_2013040408020,https://www.nb.no/items/URN:NBN:no-nb_digibok_2013040408020,Ruomas,"Arntzen , Alex / Lunden , William",,Oslo,1945.0,Roséns forlag,nob,,,,Skjønn,Skjønn,,,,,,
131,100109425,URN:NBN:no-nb_digibok_2012091408163,https://www.nb.no/items/URN:NBN:no-nb_digibok_2012091408163,Baron von Münchhausens vidunderlige reiser til lands og til vanns : hans felttog og lystige eventyr slik som han selv pleide å fortelle dem,"Raspe , Rudolf Erich / Doré , Gustave / Münchhausen , Karl Friedrich Hieronymus",,Oslo,1945.0,Helge Eriksen,nob / ger,eventyr / tyske / tyskland,,,Skjønn,Skjønn,,,,,,
124,100507463,URN:NBN:no-nb_digibok_2007012201050,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007012201050,Ben Hur,"Wallace , Lewis / Lunde , Reidar",,Oslo,1945.0,Ekko,nob / eng,skjønnlitteratur,,,Skjønn,Skjønn,,,,,,
112,100027087,URN:NBN:no-nb_digibok_2007062701003,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007062701003,Bimbi reiser jorden rundt,"Ott , Estrid / Fossum , Gunvor . / Hjuler , Marie",,Oslo,1945.0,Aschehoug,nob / dan,,,,Skjønn,Skjønn,,,,,,
120,100596978,URN:NBN:no-nb_digibok_2021032448517,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021032448517,Bitten,"Holst , Bertha / Borgen , Wenche",,Oslo,1945.0,Gyldendal,nob / dan,,,,Skjønn,Skjønn,,,,,,
130,100440302,URN:NBN:no-nb_digibok_2021042048620,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021042048620,Buffalo Bill og de lange tog,"Sabin , Edwin L. / Rolfsen , Alf",,Oslo,1945.0,Gyldendal,nob / eng,,,,Skjønn,Skjønn,,,,,,
75,100274376,URN:NBN:no-nb_digibok_2015110407547,https://www.nb.no/items/URN:NBN:no-nb_digibok_2015110407547,Da mor var liten,"Hopp , Zinken / Brochmann , Odd",,Oslo,1945.0,Aschehoug,nob,,,,Skjønn,Skjønn,,,,,,
101,100439478,URN:NBN:no-nb_digibok_2021032348607,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021032348607,Handelsreisende Hardkes,"Jensen , Otto A.",,Oslo,1945.0,De Unge,nob,,,,Skjønn,Skjønn,,,,,,
105,100439916,URN:NBN:no-nb_digibok_2021040648571,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021040648571,Helse-Per,,,Oslo,1945.0,Liv og helse,nob,,,poetry,Skjønnlitteratur,,,,,,,
38,100499436,URN:NBN:no-nb_digibok_2012033013003,https://www.nb.no/items/URN:NBN:no-nb_digibok_2012033013003,"Hesten, kua og de andre : bildebok med bilder og vers","Egner , Thorbjørn / Egner , Thorbjørn",,Oslo,1945.0,Halvorsens Bok- og Papirhandel,nob,,,,Skjønn,Skjønn,,,,,,
2,100573157,URN:NBN:no-nb_digibok_2007011101071,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007011101071,Hittebarnet,"Baker , Samuel W. / Hagerup , Inger",,Oslo,1945.0,Norsk barneblads forl.,mul / nno / nob / eng,,,,Skjønn,Skjønn,,,,,,
129,100328309,URN:NBN:no-nb_digibok_2017031748082,https://www.nb.no/items/URN:NBN:no-nb_digibok_2017031748082,Hjortedreper,"Cooper , James Fenimore / Stabell , W. W. / Stabell , Wilhelm Winsnes .",,Oslo,1945.0,Aschehoug,nob / eng,,,,Skjønn,Skjønn,,,,,,
23,100572672,URN:NBN:no-nb_digibok_2007011100107,https://www.nb.no/items/URN:NBN:no-nb_digibok_2007011100107,Hurra for han som innstifta da'n!,"Holt , Kåre / Brochmann , Odd",,Oslo,1945.0,Gyldendal,nob,Biografier / 17. mai,,,Fag,Fag,,,,,,
0,100028906,URN:NBN:no-nb_digibok_2008041604007,https://www.nb.no/items/URN:NBN:no-nb_digibok_2008041604007,I barneflokken,"Hovden , Anders / Nilssen , Jens R.",,Oslo,1945.0,Fonna,mul / nno / nob,,,short story,Skjønnlitteratur,,,,,,,
62,100231788,URN:NBN:no-nb_digibok_2014101408312,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014101408312,Panteren : indianerfortelling,"Endresen , Bergthor / Ellingsen , Jan-Fredrik .",,Oslo,1945.0,Roséns forl.,nob,,,short story,Skjønnlitteratur,,,,,,,
56,100205174,URN:NBN:no-nb_digibok_2014052108177,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014052108177,Peik,"Ring , Barbra / Grøgaard , Joachim / Ring , Barbra",,Oslo,1945.0,Aschehoug,nob,,,,Skjønn,Skjønn,,,,,,
70,100260738,URN:NBN:no-nb_digibok_2015070908025,https://www.nb.no/items/URN:NBN:no-nb_digibok_2015070908025,Pelle,"Haaland , Kirsten / Schwab , Per",,Oslo,1945.0,Gyldendal,nob,Kråker,,fiction,Skjønnlitteratur,,,,,,,
69,100253943,URN:NBN:no-nb_digibok_2015062308218,https://www.nb.no/items/URN:NBN:no-nb_digibok_2015062308218,Per og de andre hos tante Ce : musikalsk billedbok for barn,"Selmer , Mildred / Osen , Rigmor",,Oslo,1945.0,Tanum,nob,barnesanger,,,Skjønn,Skjønn,,,,,,
121,100440523,URN:NBN:no-nb_digibok_2021041348803,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021041348803,Perlehuset,"Thyregod , Rose / Winther , Eugenie",,Oslo,1945.0,Nasjonalforl.,nob / dan,,,,Skjønn,Skjønn,,,,,,
128,100236767,URN:NBN:no-nb_digibok_2014120108101,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014120108101,Prinsen og fatigguten,"Twain , Mark / Horvei , Johannes / Twain , Mark",,Oslo,1945.0,Norsk barneblads forl.,nob / eng,,,,Skjønn,Skjønn,,,,,,
91,100367954,URN:NBN:no-nb_digibok_2018031948047,https://www.nb.no/items/URN:NBN:no-nb_digibok_2018031948047,Prinsesse Solgull's små hjelpere : eventyrspill i 3 akter,"Edmund , Trygve",,Oslo,1945.0,Ekko,nob,,,,Skjønn,Skjønn,,,,,,
116,100206764,URN:NBN:no-nb_digibok_2014052108264,https://www.nb.no/items/URN:NBN:no-nb_digibok_2014052108264,Præriens sønn,"Gredsted , Torry / Hauge , Andreas . / Kobro , Nancy",,Oslo,1945.0,Aschehoug,nob / dan,,,novel,Skjønnlitteratur,,,,,,,
113,100028909,URN:NBN:no-nb_digibok_2008041604103,https://www.nb.no/items/URN:NBN:no-nb_digibok_2008041604103,Prøv igjen : boken til ungdommen som vil fram,"Møller-Jensen , Jens / Harbitz , Alf / Imsland , Henry",,Stavanger,1945.0,Stabenfeldt,nob / dan,Fra barn til voksen,,,Fag,Fag,,,,,,
95,100439037,URN:NBN:no-nb_digibok_2021032348501,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021032348501,"Pølle, Kissa og Mikki","Enoksen , Johan K.",,Stavanger,1945.0,Dreyer,nob,,,short story,Skjønnlitteratur,,,,,,,
125,100088105,URN:NBN:no-nb_digibok_2012041308131,https://www.nb.no/items/URN:NBN:no-nb_digibok_2012041308131,På eventyr i Stillehavet,"Norris , Frank / Norris , Frank / Skjønhaug , Arne",,Oslo,1945.0,Ekko,nob / eng,,,,Skjønn,Skjønn,,,,,,
103,100439488,URN:NBN:no-nb_digibok_2021032348625,https://www.nb.no/items/URN:NBN:no-nb_digibok_2021032348625,På tokt i Oslofjorden,"Krafft , Arne / Fjeldsaa , Kåre Berven",,,1945.0,De Unge,nob,,,fiction,Skjønnlitteratur,,,,,,,
